,Govt_ID,Policy_Number,Disease,Disease_Category,Claim_Date
0,TJNTX6177J,W78254,Viral Fever,acute,2022-04-14
1,YTGOH4994B,N64362,Gallstones,surgical,2020-07-01
2,YTGOH4994B,N64362,Gallstones,surgical,2016-02-21
58,JHEXI8567P,L70194,ACL Tear,surgical,2016-08-07
59,JHEXI8567P,L70194,Urinary Tract Infection,acute,2020-02-17
60,JHEXI8567P,L70194,Urinary Tract Infection,acute,2018-09-04
61,JHEXI8567P,L70194,Multiple Sclerosis,rare,2022-11-27
62,MXWWN6007R,Y55989,Multiple Sclerosis,rare,2020-02-03
63,RNXHC4882J,P21927,Myocardial Infarction,cardiac,2016-03-29
64,RNXHC4882J,P21927,Coronary Artery Disease,cardiac,2016-07-11
65,WQSZE4309C,B00910,Viral Fever,acute,2024-05-23
66,WQSZE4309C,B00910,Gallstones,surgical,2016-02-12
67,WQSZE4309C,B00910,Appendicitis,surgical,2017-03-23
68,WQSZE4309C,B00910,Pneumonia,acute,2016-12-14
69,VQMFQ8346Q,J23981,Pneumonia,acute,2017-11-01
70,LLRQL6642N,F49289,Myocardial Infarction,cardiac,2017-04-26
71,AAUIS2527J,G36550,Lupus,rare,2021-10-13
72,AAUIS2527J,G36550,Autoimmune Disorder,rare,2023-04-15
73,AAUIS2527J,G36550,Myocardial Infarction,cardiac,2024-05-06
74,JOBQE9041R,B21670,Gastroenteritis,acute,2021-04-29
75,JOBQE9041R,B21670,Urinary Tract Infection,acute,2016-07-14
76,LTLUI6021L,Q04707,Multiple Sclerosis,rare,2024-04-25
77,DNOXX7544E,P53422,Lupus,rare,2022-01-05
78,DNOXX7544E,P53422,Hypertension,chronic,2018-01-16
79,DNOXX7544E,P53422,Chronic Kidney Disease,chronic,2018-08-14
80,KQBET7873I,Y14616,Diabetes Mellitus,chronic,2017-09-21
81,KQBET7873I,Y14616,Hypertension,chronic,2021-06-04
82,SEHMP3864Q,Y25109,ACL Tear,surgical,2018-12-26
83,SEHMP3864Q,Y25109,Viral Fever,acute,2019-01-08
84,SEHMP3864Q,Y25109,Chronic Kidney Disease,chronic,2019-08-13
85,SEHMP3864Q,Y25109,Chronic Kidney Disease,chronic,2016-07-21
86,DCJMX5605R,K19376,Hypothyroidism,chronic,2018-12-06
87,DCJMX5605R,K19376,Gastroenteritis,acute,2016-11-17
88,ZYSUU0730Z,Y07681,Urinary Tract Infection,acute,2023-07-21
89,JJPQT1797D,Q90754,Hernia,surgical,2024-11-21
90,JJPQT1797D,Q90754,Autoimmune Disorder,rare,2020-01-09
91,JJPQT1797D,Q90754,Diabetes Mellitus,chronic,2016-07-09
92,JJPQT1797D,Q90754,Multiple Sclerosis,rare,2020-06-22
93,QESHU5043G,C72509,Hypertension,chronic,2019-04-12
94,QESHU5043G,C72509,Hypertension,chronic,2019-07-10
95,QESHU5043G,C72509,Gallstones,surgical,2021-10-26
96,SKVZA6965K,E10299,Dengue,acute,2018-02-02
97,SLAKA3981A,I52189,Myocardial Infarction,cardiac,2020-09-20
98,SLAKA3981A,I52189,Coronary Artery Disease,cardiac,2022-04-04
99,SLAKA3981A,I52189,Autoimmune Disorder,rare,2024-12-22
100,SLAKA3981A,I52189,Pneumonia,acute,2020-10-13
101,NBHKP1082R,Z78696,ACL Tear,surgical,2023-08-26
102,NBHKP1082R,Z78696,Myocardial Infarction,cardiac,2020-03-01
103,QOJOJ0163C,N30219,Chronic Kidney Disease,chronic,2019-04-09
104,QOJOJ0163C,N30219,Multiple Sclerosis,rare,2016-11-07
105,QOJOJ0163C,N30219,Appendicitis,surgical,2018-12-09
106,NLXSD0545N,J49149,Pneumonia,acute,2020-04-25
107,NLXSD0545N,J49149,Hypertension,chronic,2021-11-01
108,NZWBH1491C,H75329,Diabetes Mellitus,chronic,2016-05-04
109,NZWBH1491C,H75329,Angina,cardiac,2022-07-13
110,NZWBH1491C,H75329,Pneumonia,acute,2021-09-28
111,NZWBH1491C,H75329,Dengue,acute,2020-03-04
112,NZWBH1491C,H75329,Angina,cardiac,2020-12-28
113,APHLB1668K,K96208,Autoimmune Disorder,rare,2017-03-15
114,APHLB1668K,K96208,Diabetes Mellitus,chronic,2024-07-13
115,APHLB1668K,K96208,Viral Fever,acute,2019-08-30
116,APHLB1668K,K96208,Angina,cardiac,2024-09-08
117,MJYNS5278F,D44580,Gastroenteritis,acute,2017-07-15
118,DTZFG3985W,Q19346,Diabetes Mellitus,chronic,2023-07-15
119,DTZFG3985W,Q19346,Hernia,surgical,2016-01-23
120,DTZFG3985W,Q19346,Chronic Kidney Disease,chronic,2017-11-06
121,MXUOB2353Z,G84386,Urinary Tract Infection,acute,2020-12-22
122,MXUOB2353Z,G84386,Multiple Sclerosis,rare,2023-07-05
123,VPOSA6254S,K03361,Coronary Artery Disease,cardiac,2023-12-29
124,VPOSA6254S,K03361,Gallstones,surgical,2018-11-18
125,PPQQN9587F,S63222,Autoimmune Disorder,rare,2021-10-22
126,PPQQN9587F,S63222,Pneumonia,acute,2021-08-31
127,PPQQN9587F,S63222,Hernia,surgical,2016-12-21
128,PPQQN9587F,S63222,Multiple Sclerosis,rare,2022-01-24
129,KWCKF7955D,S77294,Lupus,rare,2022-02-01
130,KWCKF7955D,S77294,Hypothyroidism,chronic,2019-08-03
131,KWCKF7955D,S77294,Diabetes Mellitus,chronic,2017-12-19
132,KWCKF7955D,S77294,Lupus,rare,2024-10-27
133,TFTRL5593B,E66499,Gastroenteritis,acute,2019-09-23
134,TFTRL5593B,E66499,Appendicitis,surgical,2024-10-13
135,HMHCC6733V,I07122,Hypertension,chronic,2019-10-06
136,HMHCC6733V,I07122,Lupus,rare,2022-05-09
137,HMHCC6733V,I07122,Pneumonia,acute,2022-02-22
138,HMHCC6733V,I07122,Myocardial Infarction,cardiac,2023-04-12
139,UIHHO9067P,B01671,Hernia,surgical,2024-02-22
140,UIHHO9067P,B01671,Multiple Sclerosis,rare,2022-10-03
141,UIHHO9067P,B01671,Viral Fever,acute,2020-08-02
142,UIHHO9067P,B01671,Pneumonia,acute,2016-11-07
143,UIHHO9067P,B01671,Coronary Artery Disease,cardiac,2022-09-09
144,JXYCY9157M,W85632,Autoimmune Disorder,rare,2020-05-18
145,YZDFU4077R,B45055,Gallstones,surgical,2022-08-16
146,WJLIR0869S,F64236,Myocardial Infarction,cardiac,2021-01-24
147,WJLIR0869S,F64236,Dengue,acute,2022-01-27
148,WJLIR0869S,F64236,Appendicitis,surgical,2020-06-16
149,WJLIR0869S,F64236,Hypertension,chronic,2018-04-08
150,WJLIR0869S,F64236,Lupus,rare,2016-08-19
151,HLBJY1267U,N14841,Lupus,rare,2020-10-04
266,LGBYP6166X,A56536,Hypertension,chronic,2021-03-31
267,LGBYP6166X,A56536,Hernia,surgical,2021-06-30
268,LGBYP6166X,A56536,Gastroenteritis,acute,2018-09-06
269,USXZW0403B,W90783,Coronary Artery Disease,cardiac,2016-11-28
270,USXZW0403B,W90783,Angina,cardiac,2022-07-03
271,USXZW0403B,W90783,Autoimmune Disorder,rare,2019-04-22
272,USXZW0403B,W90783,Pneumonia,acute,2018-03-06
273,USXZW0403B,W90783,Lupus,rare,2016-01-25
274,IXYEH0206I,M09571,Lupus,rare,2023-11-20
275,SIXZW4830D,Y82718,ACL Tear,surgical,2016-09-05
276,SIXZW4830D,Y82718,Coronary Artery Disease,cardiac,2019-06-11
277,SAYTF3535U,C95048,Asthma,chronic,2020-03-24
278,SAYTF3535U,C95048,Pneumonia,acute,2018-02-04
279,FFPUZ3476R,Z52489,Coronary Artery Disease,cardiac,2022-04-23
280,SQUDE9000A,I69058,Gallstones,surgical,2024-03-20
281,ODLVA9416F,Q49586,Asthma,chronic,2016-12-25
282,ODLVA9416F,Q49586,Angina,cardiac,2016-12-06
283,WKLNT1071Y,X58281,Coronary Artery Disease,cardiac,2022-09-15
284,WKLNT1071Y,X58281,Urinary Tract Infection,acute,2023-01-14
285,WKLNT1071Y,X58281,Fracture Femur,surgical,2020-03-30
286,WKLNT1071Y,X58281,ACL Tear,surgical,2023-12-26
287,XRIVR4263O,R05594,Coronary Artery Disease,cardiac,2018-08-15
288,XRIVR4263O,R05594,Angina,cardiac,2023-08-07
289,NVDDQ7308K,R14882,Chronic Kidney Disease,chronic,2019-11-07
290,NVDDQ7308K,R14882,Hypertension,chronic,2017-06-28
291,VKSTT0056E,N54876,Dengue,acute,2023-04-23
292,GCBGK3580I,X44699,Fracture Femur,surgical,2020-11-08
293,TTPDX7643E,D47558,Fracture Femur,surgical,2023-10-07
294,TTPDX7643E,D47558,Angina,cardiac,2022-09-30
295,TTPDX7643E,D47558,Lupus,rare,2022-12-23
296,TTPDX7643E,D47558,Myocardial Infarction,cardiac,2018-09-07
297,TTPDX7643E,D47558,Hernia,surgical,2023-03-04
298,EEWRS6247S,O98704,Hypertension,chronic,2022-08-02
299,EEWRS6247S,O98704,Appendicitis,surgical,2020-07-03
300,IPMSF6965T,B77928,Fracture Femur,surgical,2016-08-07
301,FYOIN8550K,S88929,Dengue,acute,2019-05-05
302,QWDMQ6492G,X77277,Lupus,rare,2017-03-07
303,QWDMQ6492G,X77277,Hypertension,chronic,2016-10-18
304,QWDMQ6492G,X77277,Myocardial Infarction,cardiac,2023-06-29
305,QWDMQ6492G,X77277,Hernia,surgical,2019-06-23
306,JOOOQ0618V,M25795,Fracture Femur,surgical,2020-06-27
307,JOOOQ0618V,M25795,Urinary Tract Infection,acute,2016-06-25
308,JOOOQ0618V,M25795,Myocardial Infarction,cardiac,2023-07-19
309,JOOOQ0618V,M25795,Viral Fever,acute,2020-09-20
310,IYLWE4195V,E37424,Hypothyroidism,chronic,2017-01-14
311,IYLWE4195V,E37424,Dengue,acute,2018-08-18
312,UGNTD2732A,T81320,Hypothyroidism,chronic,2021-12-01
313,AOSQW8314U,P76948,Myocardial Infarction,cardiac,2021-11-10
314,AOSQW8314U,P76948,Hypertension,chronic,2020-03-19
315,OKKXY3670V,C97889,Angina,cardiac,2020-10-26
316,OKKXY3670V,C97889,Lupus,rare,2021-05-14
